"Time (s) Run #1","Light Intensity, Ch A (%) Run #1","Time (s) Run #2","Light Intensity, Ch A (%) Run #2","Time (s) Run #3","Light Intensity, Ch A (%) Run #3","Time (s) Run #4","Light Intensity, Ch A (%) Run #4","Time (s) Run #5","Light Intensity, Ch A (%) Run #5"
0.000,100.5,0.000,0.1,0.000,6.6,0.000,5.4,0.000,6.6
0.020,100.5,0.020,0.1,0.020,6.6,0.020,5.5,0.020,6.7
0.040,100.5,0.040,0.1,0.040,6.7,0.040,5.8,0.040,6.7
0.060,100.5,0.060,0.1,0.060,6.7,0.060,5.8,0.060,6.6
0.080,100.5,0.080,0.1,0.080,6.6,0.080,5.4,0.080,6.6
0.100,100.5,0.100,0.1,0.100,6.6,0.100,5.6,0.100,6.8
0.120,100.5,0.120,0.1,0.120,6.6,0.120,5.6,0.120,6.7
0.140,100.5,0.140,0.1,0.140,6.7,0.140,5.7,0.140,6.5
0.160,100.5,0.160,0.1,0.160,6.7,0.160,5.7,0.160,6.5
0.180,100.5,0.180,0.1,0.180,6.7,0.180,5.6,0.180,6.7
0.200,100.5,0.200,0.1,0.200,6.6,0.200,5.6,0.200,6.6
0.220,100.5,0.220,0.1,0.220,6.6,0.220,5.6,0.220,6.7
0.240,100.5,0.240,0.1,0.240,6.7,0.240,5.6,0.240,6.6
0.260,100.5,0.260,0.1,0.260,6.7,0.260,5.6,0.260,6.5
0.280,100.5,0.280,0.1,0.280,6.7,0.280,5.6,0.280,6.6
0.300,100.5,0.300,0.1,0.300,6.7,0.300,5.6,0.300,6.5
0.320,100.5,0.320,0.1,0.320,6.6,0.320,5.6,0.320,6.5
0.340,100.5,0.340,0.1,0.340,6.9,0.340,5.6,0.340,6.5
0.360,100.5,0.360,0.1,0.360,6.7,0.360,5.5,0.360,6.5
0.380,100.5,0.380,0.1,0.380,6.7,0.380,5.5,0.380,6.5
0.400,100.5,0.400,0.1,0.400,6.7,0.400,5.6,0.400,6.6
0.420,100.5,0.420,0.1,0.420,6.7,0.420,5.6,0.420,6.5
0.440,100.5,0.440,0.1,0.440,6.6,0.440,5.5,0.440,6.6
0.460,100.5,0.460,0.2,0.460,6.6,0.460,5.5,0.460,6.5
0.480,100.5,0.480,0.4,0.480,6.6,0.480,5.5,0.480,6.5
0.500,100.5,0.500,0.4,0.500,6.7,0.500,5.6,0.500,6.6
0.520,100.5,0.520,0.8,0.520,6.7,0.520,5.6,0.520,6.5
0.540,100.5,0.540,0.8,0.540,6.6,0.540,5.5,0.540,6.5
0.560,100.5,0.560,0.2,0.560,6.6,0.560,5.5,0.560,6.5
0.580,100.5,0.580,0.1,0.580,6.7,0.580,5.5,0.580,6.6
0.600,100.5,0.600,0.1,0.600,6.6,0.600,5.6,0.600,6.5
0.620,100.5,0.620,0.1,0.620,6.6,0.620,5.6,0.620,6.7
0.640,100.5,0.640,0.1,0.640,6.7,0.640,5.5,0.640,6.7
0.660,100.5,0.660,0.1,0.660,6.6,0.660,5.5,0.660,6.8
0.680,100.5,0.680,0.1,0.680,6.6,0.680,5.5,0.680,6.8
0.700,100.5,0.700,0.1,0.700,6.7,0.700,5.6,0.700,6.8
0.720,100.5,0.720,0.5,0.720,6.6,0.720,5.6,0.720,6.8
0.740,100.5,0.740,1.3,0.740,6.6,0.740,5.5,0.740,6.7
0.760,100.5,0.760,1.4,0.760,6.6,0.760,5.5,0.760,6.7
0.780,100.5,0.780,1.4,0.780,6.6,0.780,5.5,0.780,6.7
0.800,100.5,0.800,0.1,0.800,6.6,0.800,5.5,0.800,6.6
0.820,100.5,0.820,0.2,0.820,6.6,0.820,5.5,0.820,6.6
0.840,100.5,0.840,0.1,0.840,6.6,0.840,5.5,0.840,6.6
0.860,100.5,0.860,0.1,0.860,6.7,0.860,5.5,0.860,6.5
0.880,100.5,0.880,0.1,0.880,6.7,0.880,5.6,0.880,6.7
0.900,100.5,0.900,0.1,0.900,6.6,0.900,5.7,0.900,6.5
0.920,100.5,0.920,0.3,0.920,6.7,0.920,5.6,0.920,6.5
0.940,100.5,0.940,0.9,0.940,6.6,0.940,5.6,0.940,6.5
0.960,100.5,0.960,3.6,0.960,6.6,0.960,5.7,0.960,6.6
0.980,100.5,0.980,7.0,0.980,6.6,0.980,5.8,0.980,6.5
1.000,100.5,1.000,6.3,1.000,6.6,1.000,5.8,1.000,6.6
1.020,100.5,1.020,6.0,1.020,6.6,1.020,5.6,1.020,6.7
1.040,100.5,1.040,0.3,1.040,6.7,1.040,5.5,1.040,6.8
1.060,100.5,1.060,0.4,1.060,6.8,1.060,5.5,1.060,6.7
1.080,100.5,1.080,0.5,1.080,6.9,1.080,5.6,1.080,6.6
1.100,100.5,1.100,0.5,1.100,6.9,1.100,5.6,1.100,6.6
1.120,100.5,1.120,0.5,1.120,7.0,1.120,5.5,1.120,6.6
1.140,100.5,1.140,0.5,1.140,7.1,1.140,5.6,1.140,6.7
1.160,100.5,1.160,0.5,1.160,7.0,1.160,5.6,1.160,6.7
1.180,100.5,1.180,0.5,1.180,6.8,1.180,5.5,1.180,6.6
1.200,100.5,1.200,3.3,1.200,6.9,1.200,5.5,1.200,6.8
1.220,100.5,1.220,7.5,1.220,6.8,1.220,5.5,1.220,6.8
1.240,100.5,1.240,6.6,1.240,6.9,1.240,5.6,1.240,6.8
1.260,100.5,1.260,6.2,1.260,6.9,1.260,5.6,1.260,6.8
1.280,100.5,1.280,0.3,1.280,6.7,1.280,5.5,1.280,6.7
1.300,100.5,1.300,0.5,1.300,6.9,1.300,5.6,1.300,6.7
1.320,100.5,1.320,0.5,1.320,6.8,1.320,5.5,1.320,6.8
1.340,100.5,1.340,0.6,1.340,6.8,1.340,5.5,1.340,6.7
1.360,100.5,1.360,3.3,1.360,6.9,1.360,5.5,1.360,6.7
1.380,100.5,1.380,4.0,1.380,6.9,1.380,5.5,1.380,6.6
1.400,100.5,1.400,3.9,1.400,6.8,1.400,5.5,1.400,6.6
1.420,100.5,1.420,3.9,1.420,7.0,1.420,5.5,1.420,6.8
1.440,100.5,1.440,6.5,1.440,7.2,1.440,5.5,1.440,6.7
1.460,100.5,1.460,10.8,1.460,7.1,1.460,5.5,1.460,6.8
1.480,100.5,1.480,9.9,1.480,7.2,1.480,5.5,1.480,6.7
1.500,100.5,1.500,9.4,1.500,7.2,1.500,5.6,1.500,6.7
1.520,100.5,1.520,3.7,1.520,7.2,1.520,5.6,1.520,6.8
1.540,100.5,1.540,4.2,1.540,7.1,1.540,5.6,1.540,6.7
1.560,100.5,1.560,4.3,1.560,7.1,1.560,5.6,1.560,6.7
1.580,100.5,1.580,4.0,1.580,7.1,1.580,5.7,1.580,6.6
1.600,100.5,1.600,3.5,1.600,7.2,1.600,5.7,1.600,6.7
1.620,100.5,1.620,3.4,1.620,7.1,1.620,5.6,1.620,6.6
1.640,100.5,1.640,3.4,1.640,7.1,1.640,5.6,1.640,6.7
1.660,100.5,1.660,3.4,1.660,7.1,1.660,5.6,1.660,6.6
1.680,100.5,1.680,3.4,1.680,7.0,1.680,5.6,1.680,6.8
1.700,100.5,1.700,3.4,1.700,7.0,1.700,5.6,1.700,6.6
1.720,100.5,1.720,3.4,1.720,7.0,1.720,5.7,1.720,6.5
1.740,100.5,1.740,3.4,1.740,6.9,1.740,5.6,1.740,6.7
1.760,100.5,1.760,3.3,1.760,6.9,1.760,5.6,1.760,6.6
1.780,100.5,1.780,3.3,1.780,6.9,1.780,5.6,1.780,6.7
1.800,100.5,1.800,3.3,1.800,6.8,1.800,5.6,1.800,6.7
1.820,100.5,1.820,3.4,1.820,7.2,1.820,5.7,1.820,6.7
1.840,100.5,1.840,4.6,1.840,7.1,1.840,5.7,1.840,6.8
1.860,100.5,1.860,5.0,1.860,6.9,1.860,5.6,1.860,6.7
1.880,100.5,1.880,4.7,1.880,6.9,1.880,5.6,1.880,6.5
1.900,100.5,1.900,4.2,1.900,7.0,1.900,5.7,1.900,6.6
