"Time (s) G1 at endRun #1","Light Intensity (%) G1 at endRun #1","Time (s) Run #2","Light Intensity (%) Run #2"
0.000,1.2,0.000,-3.0
0.100,1.2,0.100,-3.0
0.200,1.2,0.200,-3.1
0.300,1.2,0.300,-3.0
0.400,1.2,0.400,-3.0
0.500,1.2,0.500,-3.0
0.600,1.2,0.600,-3.0
0.700,1.2,0.700,-2.9
0.800,1.2,0.800,-2.9
0.900,1.2,0.900,-2.9
1.000,1.2,1.000,-2.9
1.100,1.2,1.100,-2.8
1.200,1.2,1.200,-2.8
1.300,1.2,1.300,-2.8
1.400,1.2,1.400,-2.8
1.500,1.2,1.500,-2.8
1.600,1.2,1.600,-2.8
1.700,1.2,1.700,-2.8
1.800,1.2,1.800,-2.8
1.900,1.2,1.900,-2.8
2.000,1.2,2.000,-2.8
2.100,1.1,2.100,-2.8
2.200,1.1,2.200,-2.8
2.300,1.1,2.300,-2.8
2.400,1.1,2.400,-0.5
2.500,1.1,2.500,0.0
2.600,1.1,2.600,0.0
2.700,1.1,2.700,0.1
2.800,1.1,2.800,0.1
2.900,1.1,2.900,0.1
3.000,1.1,3.000,0.1
3.100,1.1,3.100,0.1
3.200,1.1,3.200,0.0
3.300,1.1,3.300,0.0
3.400,1.1,3.400,-0.1
3.500,1.1,3.500,-0.1
3.600,1.2,3.600,-0.1
3.700,1.2,3.700,-0.1
3.800,1.3,3.800,-0.1
3.900,1.4,3.900,-0.1
4.000,1.4,4.000,-0.1
4.100,1.4,4.100,-0.1
4.200,1.5,4.200,-0.1
4.300,1.5,4.300,-0.2
4.400,1.6,4.400,-0.1
4.500,1.6,4.500,-0.1
4.600,1.5,4.600,-0.1
4.700,1.4,4.700,-0.1
4.800,1.2,4.800,-0.2
4.900,1.0,4.900,-0.2
5.000,0.9,5.000,-0.2
5.100,0.7,5.100,-0.2
5.200,0.7,5.200,-0.2
5.300,0.6,5.300,-0.2
5.400,0.6,5.400,-0.2
5.500,0.6,5.500,-0.2
5.600,0.5,5.600,-0.2
5.700,0.5,5.700,-0.2
5.800,0.4,5.800,-0.2
5.900,0.4,5.900,-0.2
6.000,0.4,6.000,-0.2
6.100,0.4,6.100,-0.2
6.200,0.3,6.200,-0.2
6.300,0.3,6.300,-0.2
6.400,0.3,6.400,-0.2
6.500,0.4,6.500,-0.2
6.600,0.4,6.600,-0.2
6.700,0.5,6.700,-0.2
6.800,0.5,6.800,-0.2
6.900,0.6,6.900,-0.2
7.000,0.8,7.000,-0.2
7.100,0.9,7.100,-0.2
7.200,1.1,7.200,-0.2
7.300,1.2,7.300,-0.2
7.400,1.3,7.400,-0.2
7.500,1.3,7.500,-0.2
7.600,1.3,7.600,-0.2
7.700,1.3,7.700,-0.2
7.800,1.3,7.800,-0.2
7.900,1.3,7.900,-0.2
8.000,1.3,8.000,-0.2
8.100,1.3,8.100,-0.2
8.200,1.3,8.200,-0.2
8.300,1.3,8.300,-0.2
8.400,1.3,8.400,-0.2
8.500,1.3,8.500,-0.2
8.600,1.3,8.600,-0.2
8.700,1.3,8.700,-0.2
8.800,1.3,8.800,-0.2
8.900,1.3,8.900,-0.2
9.000,1.3,9.000,-0.2
9.100,1.3,9.100,-0.2
9.200,1.4,9.200,-0.2
9.300,1.4,9.300,-0.2
9.400,1.3,9.400,-0.2
9.500,1.2,9.500,-0.3
9.600,1.1,9.600,-0.3
9.700,0.9,9.700,-0.3
9.800,0.8,9.800,-0.3
9.900,0.8,9.900,-0.3
10.000,0.7,10.000,-0.3
10.100,0.7,10.100,-0.3
10.200,0.7,10.200,-0.3
10.300,0.7,10.300,-0.3
10.400,0.7,10.400,-0.3
10.500,0.8,10.500,-0.3
10.600,0.8,10.600,-0.3
10.700,0.8,10.700,-0.3
10.800,0.7,10.800,-0.3
10.900,0.6,10.900,-0.3
11.000,0.5,11.000,-0.3
11.100,0.4,11.100,-0.3
11.200,0.4,11.200,-0.3
11.300,0.5,11.300,-0.3
11.400,0.5,11.400,-0.3
11.500,0.5,11.500,-0.3
11.600,0.5,11.600,-0.3
11.700,0.5,11.700,-0.3
11.800,0.5,11.800,-0.3
11.900,0.5,11.900,-0.3
12.000,0.5,12.000,-0.3
12.100,0.5,12.100,-0.3
12.200,0.5,12.200,-0.3
12.300,0.5,12.300,-0.3
12.400,0.5,12.400,-0.3
12.500,0.5,12.500,-0.3
12.600,0.5,12.600,-0.3
12.700,0.5,12.700,-0.3
12.800,0.5,12.800,-0.3
12.900,0.5,12.900,-0.3
13.000,0.5,13.000,-0.3
13.100,0.6,13.100,-0.3
13.200,0.6,13.200,-0.3
13.300,0.6,13.300,-0.3
13.400,0.6,13.400,-0.3
13.500,0.6,13.500,-0.3
13.600,0.6,13.600,-0.3
13.700,0.5,13.700,-0.3
13.800,0.5,13.800,-0.3
13.900,0.4,13.900,-0.3
14.000,0.5,14.000,-0.3
14.100,0.6,14.100,-0.3
14.200,0.7,14.200,-0.3
14.300,0.7,14.300,-0.3
14.400,0.8,14.400,-0.3
14.500,0.9,14.500,-0.3
14.600,1.0,14.600,-0.3
14.700,1.0,14.700,-0.3
14.800,1.1,14.800,-0.3
14.900,1.1,14.900,-0.3
15.000,1.1,15.000,-0.3
15.100,1.1,15.100,-0.3
15.200,1.1,15.200,-0.3
15.300,1.1,15.300,-0.3
15.400,1.1,15.400,-0.3
15.500,1.1,15.500,-0.2
15.600,1.1,15.600,-0.2
15.700,1.1,15.700,-0.2
15.800,1.1,15.800,-0.2
15.900,1.1,15.900,-0.2
16.000,1.1,16.000,-0.2
16.100,1.1,16.100,-0.2
16.200,1.1,16.200,-0.2
16.300,1.1,16.300,-0.1
16.400,1.1,16.400,-0.1
16.500,1.1,16.500,-0.1
16.600,1.1,16.600,-0.1
16.700,1.1,16.700,-0.1
16.800,1.1,16.800,0.0
16.900,1.1,16.900,0.0
17.000,1.1,17.000,-0.1
17.100,1.1,17.100,-0.1
17.200,1.1,17.200,0.0
17.300,1.1,17.300,0.0
17.400,1.1,17.400,0.0
17.500,1.1,17.500,0.0
17.600,1.1,17.600,0.0
17.700,1.1,17.700,-0.1
17.800,1.1,17.800,-0.1
17.900,1.1,17.900,-0.1
18.000,1.1,18.000,-0.2
18.100,1.1,18.100,-0.2
18.200,1.1,18.200,-0.3
18.300,1.1,18.300,-0.3
18.400,1.1,18.400,-0.4
18.500,1.1,18.500,-0.4
18.600,1.1,18.600,-0.3
18.700,1.1,18.700,-0.2
18.800,1.1,18.800,-0.1
18.900,1.1,18.900,-0.1
19.000,1.0,19.000,0.0
19.100,1.0,19.100,0.1
19.200,1.0,19.200,0.1
19.300,1.0,19.300,0.1
19.400,1.0,19.400,0.1
19.500,1.0,19.500,0.1
19.600,1.0,19.600,0.0
19.700,1.0,19.700,0.0
19.800,1.0,19.800,-0.1
19.900,1.0,19.900,-0.3
20.000,1.0,20.000,-0.3
20.100,1.0,20.100,-0.4
20.200,1.0,20.200,-0.4
20.300,1.0,20.300,-0.4
20.400,1.0,20.400,-0.4
20.500,1.0,20.500,-0.4
20.600,1.0,20.600,-0.4
20.700,1.0,20.700,-0.4
20.800,1.0,20.800,-0.3
20.900,1.0,20.900,-0.3
21.000,1.0,21.000,-0.3
21.100,1.1,21.100,-0.3
21.200,1.2,21.200,-0.3
21.300,1.3,21.300,-0.3
21.400,1.4,21.400,-0.3
21.500,1.3,21.500,-0.2
21.600,1.1,21.600,-0.2
21.700,0.9,21.700,-0.2
21.800,0.7,21.800,-0.2
21.900,0.6,21.900,-0.2
22.000,0.6,22.000,-0.3
22.100,0.6,22.100,-0.3
22.200,0.6,22.200,-0.3
22.300,0.7,22.300,-0.3
22.400,0.8,22.400,-0.3
22.500,0.9,22.500,-0.3
22.600,1.0,22.600,-0.3
22.700,1.1,22.700,-0.3
22.800,1.2,22.800,-0.3
22.900,1.3,22.900,-0.3
23.000,1.3,23.000,-0.3
23.100,1.3,23.100,-0.2
23.200,1.4,23.200,-0.2
23.300,1.4,23.300,-0.2
23.400,1.4,23.400,-0.2
23.500,1.4,23.500,-0.2
23.600,1.4,23.600,-0.2
23.700,1.4,23.700,-0.2
23.800,1.4,23.800,-0.2
23.900,1.4,23.900,-0.1
24.000,1.5,24.000,-0.1
24.100,1.5,24.100,0.0
24.200,1.6,24.200,0.1
24.300,2.0,24.300,0.1
24.400,2.7,24.400,0.1
24.500,3.2,24.500,0.1
24.600,3.4,24.600,0.0
24.700,3.3,24.700,0.0
24.800,2.8,24.800,0.0
24.900,1.4,24.900,0.0
25.000,0.7,25.000,0.0
25.100,0.4,25.100,0.0
25.200,0.2,25.200,0.0
25.300,0.4,25.300,0.0
25.400,1.5,25.400,0.0
25.500,2.3,25.500,0.0
25.600,2.7,25.600,0.0
25.700,2.5,25.700,0.0
25.800,2.5,25.800,-0.1
25.900,2.9,25.900,-0.1
26.000,4.1,26.000,-0.1
26.100,4.5,26.100,-0.1
26.200,4.7,26.200,-0.2
26.300,4.8,26.300,-0.1
26.400,4.8,26.400,-0.1
26.500,4.8,26.500,-0.1
26.600,4.8,26.600,-0.1
26.700,4.8,26.700,-0.1
26.800,4.8,26.800,-0.1
26.900,4.8,26.900,-0.1
27.000,4.8,27.000,-0.1
27.100,4.8,27.100,-0.1
27.200,4.8,27.200,0.0
27.300,4.8,27.300,0.0
27.400,4.9,27.400,0.0
27.500,4.9,27.500,0.1
27.600,4.9,27.600,0.1
27.700,4.8,27.700,0.1
27.800,3.9,27.800,0.0
27.900,3.3,27.900,-0.1
28.000,3.1,28.000,-0.1
28.100,3.0,28.100,-0.2
28.200,3.8,28.200,-0.2
28.300,3.4,28.300,-0.2
28.400,3.1,28.400,-0.1
28.500,2.9,28.500,-0.1
28.600,2.7,28.600,0.0
28.700,2.8,28.700,0.0
28.800,3.2,28.800,0.0
28.900,3.5,28.900,0.1
29.000,3.7,29.000,0.1
29.100,3.8,29.100,0.1
29.200,3.8,29.200,0.0
29.300,3.8,29.300,0.0
29.400,3.9,29.400,0.1
29.500,3.9,29.500,0.1
29.600,3.9,29.600,0.0
29.700,3.9,29.700,0.1
29.800,3.9,29.800,0.1
29.900,3.9,29.900,0.1
30.000,3.6,30.000,0.1
30.100,3.4,30.100,0.0
30.200,3.5,30.200,0.0
30.300,3.7,30.300,-0.1
30.400,4.5,30.400,-0.2
30.500,5.2,30.500,-0.2
30.600,5.6,30.600,-0.3
30.700,6.1,30.700,-0.3
30.800,6.4,30.800,-0.3
30.900,6.6,30.900,-0.2
31.000,6.7,31.000,-0.2
31.100,6.7,31.100,-0.2
31.200,6.7,31.200,-0.2
31.300,6.7,31.300,-0.3
31.400,6.5,31.400,-0.3
31.500,6.3,31.500,-0.3
31.600,6.2,31.600,-0.3
31.700,6.2,31.700,-0.3
31.800,6.1,31.800,-0.3
31.900,6.1,31.900,-0.3
32.000,5.9,32.000,-0.3
32.100,5.7,32.100,-0.2
32.200,5.4,32.200,-0.2
32.300,5.0,32.300,-0.1
32.400,4.7,32.400,-0.1
32.500,4.5,32.500,0.0
32.600,4.4,32.600,0.0
32.700,4.4,32.700,0.0
32.800,4.4,32.800,0.0
32.900,4.4,32.900,0.0
33.000,4.3,33.000,-0.1
33.100,4.2,33.100,-0.2
33.200,4.2,33.200,-0.2
33.300,4.1,33.300,-0.2
33.400,4.1,33.400,-0.2
33.500,4.1,33.500,-0.2
33.600,4.1,33.600,-0.1
33.700,4.1,33.700,-0.1
33.800,4.1,33.800,-0.1
33.900,4.2,33.900,-0.1
34.000,4.2,34.000,-0.1
34.100,4.2,34.100,-0.1
34.200,4.2,34.200,-0.1
34.300,4.2,34.300,-0.1
34.400,4.2,34.400,-0.1
34.500,4.2,34.500,0.0
34.600,4.3,34.600,1.7E-4
34.700,4.4,34.700,0.0
34.800,4.6,34.800,-0.1
34.900,4.8,34.900,-0.1
35.000,4.9,35.000,-0.2
35.100,5.1,35.100,-0.3
35.200,5.2,35.200,-0.3
35.300,5.3,35.300,-0.3
35.400,5.4,35.400,-0.3
35.500,5.5,35.500,-0.3
35.600,5.8,35.600,-0.3
35.700,6.8,35.700,-0.3
35.800,8.7,35.800,-0.3
35.900,7.4,35.900,-0.3
36.000,5.6,36.000,-0.3
36.100,4.8,36.100,-0.2
36.200,4.6,36.200,-0.2
36.300,4.5,36.300,-0.1
36.400,4.5,36.400,-0.1
36.500,4.6,36.500,-0.1
36.600,4.8,36.600,-0.1
36.700,4.8,36.700,-0.2
36.800,4.8,36.800,-0.2
36.900,4.8,36.900,-0.3
37.000,4.8,37.000,-0.3
37.100,4.7,37.100,-0.3
37.200,4.7,37.200,-0.3
37.300,4.7,37.300,-0.3
37.400,4.7,37.400,-0.3
37.500,4.6,37.500,-0.2
37.600,4.6,37.600,-0.1
37.700,4.5,37.700,0.0
37.800,4.4,37.800,0.1
37.900,4.4,37.900,0.1
38.000,4.4,38.000,0.2
38.100,4.4,38.100,0.3
38.200,4.4,38.200,0.3
38.300,4.4,38.300,0.3
38.400,4.5,38.400,0.3
38.500,4.5,38.500,0.4
38.600,4.5,38.600,0.4
38.700,4.5,38.700,0.5
38.800,4.5,38.800,0.6
38.900,4.5,38.900,0.6
39.000,4.5,39.000,0.6
39.100,4.5,39.100,0.6
39.200,4.5,39.200,0.6
39.300,4.5,39.300,0.5
39.400,4.5,39.400,0.5
39.500,4.5,39.500,0.5
39.600,4.5,39.600,0.5
39.700,4.5,39.700,0.5
39.800,4.5,39.800,0.5
39.900,4.5,39.900,0.5
40.000,4.5,40.000,0.5
40.100,4.5,40.100,0.5
40.200,4.5,40.200,0.5
40.300,4.5,40.300,0.5
40.400,4.5,40.400,0.5
40.500,4.5,40.500,0.5
40.600,4.5,40.600,0.5
40.700,4.5,40.700,2.7
40.800,4.5,40.800,12.0
40.900,4.5,40.900,16.3
41.000,4.5,41.000,18.0
41.100,4.5,41.100,18.7
41.200,4.5,41.200,19.2
41.300,4.5,41.300,19.4
41.400,4.5,41.400,19.4
41.500,4.5,41.500,19.5
41.600,4.5,41.600,19.5
41.700,4.5,41.700,19.5
41.800,4.4,41.800,19.6
41.900,4.4,41.900,19.6
42.000,4.4,42.000,19.5
42.100,4.4,42.100,19.5
42.200,4.4,42.200,19.5
42.300,4.4,42.300,19.4
42.400,4.4,42.400,19.4
42.500,4.4,42.500,19.4
42.600,4.4,42.600,19.4
42.700,4.4,42.700,19.3
42.800,4.4,42.800,19.2
42.900,4.4,42.900,19.2
43.000,4.4,43.000,19.1
43.100,4.4,43.100,19.2
43.200,4.4,43.200,19.2
43.300,4.5,43.300,19.2
43.400,4.5,43.400,19.3
43.500,4.4,43.500,19.2
43.600,4.4,43.600,19.2
43.700,4.4,43.700,19.2
43.800,4.4,43.800,19.2
43.900,4.4,43.900,19.3
44.000,4.4,44.000,19.5
44.100,4.4,44.100,19.6
44.200,4.5,44.200,19.7
44.300,4.5,44.300,19.7
44.400,4.5,44.400,19.7
44.500,4.4,44.500,19.7
44.600,4.4,44.600,19.7
44.700,4.4,44.700,19.7
44.800,4.4,44.800,19.7
44.900,4.4,44.900,19.7
45.000,4.4,45.000,19.6
45.100,4.4,45.100,19.5
45.200,4.4,45.200,19.4
45.300,4.4,45.300,19.2
45.400,4.4,45.400,19.2
45.500,4.4,45.500,19.2
45.600,4.4,45.600,19.1
45.700,4.4,45.700,19.1
45.800,4.4,45.800,19.1
45.900,4.4,45.900,19.2
46.000,4.4,46.000,19.2
46.100,4.4,46.100,19.1
46.200,4.4,46.200,19.1
46.300,4.4,46.300,19.2
46.400,4.4,46.400,19.2
46.500,4.4,46.500,19.2
46.600,4.4,46.600,19.1
46.700,4.4,46.700,19.1
46.800,4.4,46.800,19.2
46.900,4.4,46.900,19.2
47.000,4.4,47.000,19.1
47.100,4.4,47.100,19.2
47.200,4.4,47.200,19.2
47.300,4.4,47.300,19.3
47.400,4.4,47.400,19.3
47.500,4.4,47.500,19.3
47.600,4.4,47.600,19.2
47.700,4.4,47.700,19.3
47.800,4.4,47.800,19.3
47.900,4.4,47.900,19.2
48.000,4.4,48.000,19.3
48.100,4.4,48.100,19.3
48.200,4.4,48.200,19.2
48.300,4.4,48.300,19.2
48.400,4.4,48.400,19.3
48.500,4.4,48.500,19.2
48.600,4.4,48.600,19.3
48.700,4.4,48.700,19.3
48.800,4.4,48.800,19.3
48.900,4.4,48.900,19.3
49.000,4.4,49.000,19.2
49.100,4.4,49.100,19.1
49.200,4.4,49.200,19.0
49.300,4.4,49.300,19.1
49.400,4.4,49.400,19.1
49.500,4.4,49.500,19.3
49.600,4.4,49.600,19.3
49.700,4.4,49.700,19.2
49.800,4.4,49.800,19.3
49.900,4.4,49.900,19.2
50.000,4.4,50.000,19.2
50.100,4.4,50.100,19.3
50.200,4.4,50.200,19.3
50.300,4.4,50.300,19.3
50.400,4.4,50.400,19.3
50.500,4.4,50.500,19.3
50.600,4.4,50.600,19.4
50.700,4.4,50.700,19.3
50.800,4.4,50.800,19.3
50.900,4.4,50.900,19.3
51.000,4.4,51.000,19.1
51.100,4.4,51.100,19.0
51.200,4.4,51.200,19.0
51.300,4.4,51.300,19.0
51.400,4.4,51.400,18.9
51.500,4.3,51.500,19.1
51.600,4.4,51.600,19.1
51.700,4.3,51.700,19.2
51.800,4.3,51.800,19.2
51.900,4.3,51.900,19.2
52.000,4.3,52.000,19.2
52.100,4.4,52.100,19.2
52.200,4.4,52.200,19.3
52.300,4.4,52.300,19.3
52.400,4.4,52.400,19.2
52.500,4.4,52.500,19.2
52.600,4.4,52.600,19.3
52.700,4.4,52.700,19.2
52.800,4.4,52.800,19.1
52.900,4.4,52.900,19.2
53.000,4.4,53.000,19.3
53.100,4.4,53.100,19.3
53.200,4.4,53.200,19.3
53.300,4.4,53.300,19.5
53.400,4.4,53.400,19.6
53.500,4.4,53.500,19.6
53.600,4.4,53.600,19.5
53.700,4.4,53.700,19.5
53.800,4.4,53.800,19.5
53.900,4.4,53.900,19.4
54.000,4.4,54.000,19.3
54.100,4.4,54.100,19.3
54.200,4.4,54.200,19.3
54.300,4.4,54.300,19.3
54.400,4.4,54.400,19.3
54.500,4.3,54.500,19.3
54.600,4.3,54.600,19.2
54.700,4.3,54.700,19.2
54.800,4.3,54.800,19.2
54.900,4.3,54.900,19.2
55.000,4.3,55.000,19.2
55.100,4.3,55.100,19.3
55.200,4.3,55.200,19.4
55.300,4.3,55.300,19.3
55.400,4.4,55.400,19.4
55.500,4.4,55.500,19.3
55.600,4.4,55.600,19.3
55.700,4.4,55.700,19.3
55.800,4.4,55.800,19.3
55.900,4.4,55.900,19.3
56.000,4.4,56.000,19.3
56.100,4.3,56.100,19.4
56.200,4.3,56.200,19.4
56.300,4.4,56.300,19.4
56.400,4.4,56.400,19.4
56.500,4.3,56.500,19.4
56.600,4.3,56.600,19.4
56.700,4.3,56.700,19.4
